owner,study,year,trt_n,date,cum_rate_n_kgha
rosen lab,blcmr,1991,n.3,1991-05-28,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-28,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-28,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-28,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-28,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-28,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-28,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-29,0
rosen lab,blcmr,1991,n.10,1991-05-29,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-29,0
rosen lab,blcmr,1991,n.3,1991-05-29,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-29,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-29,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-29,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-29,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-29,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-29,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-30,0
rosen lab,blcmr,1991,n.10,1991-05-30,89.6679400819401
rosen lab,blcmr,1991,n.2,1991-05-30,0
rosen lab,blcmr,1991,n.3,1991-05-30,44.83397004097
rosen lab,blcmr,1991,n.4,1991-05-30,89.6679400819401
rosen lab,blcmr,1991,n.5,1991-05-30,134.50191012291
rosen lab,blcmr,1991,n.6,1991-05-30,89.6679400819401
rosen lab,blcmr,1991,n.7,1991-05-30,89.6679400819401
rosen lab,blcmr,1991,n.8,1991-05-30,44.83397004097
rosen lab,blcmr,1991,n.9,1991-05-30,44.83397004097
rosen lab,blcmr,1991,n.1,1991-05-31,0
rosen lab,blcmr,1991,n.10,1991-05-31,179.3358801638802
rosen lab,blcmr,1991,n.2,1991-05-31,134.50191012291
rosen lab,blcmr,1991,n.3,1991-05-31,156.918895143395
rosen lab,blcmr,1991,n.4,1991-05-31,179.3358801638802
rosen lab,blcmr,1991,n.5,1991-05-31,201.75286518436502
rosen lab,blcmr,1991,n.6,1991-05-31,179.3358801638802
rosen lab,blcmr,1991,n.7,1991-05-31,179.3358801638802
rosen lab,blcmr,1991,n.8,1991-05-31,89.66794008194
rosen lab,blcmr,1991,n.9,1991-05-31,89.66794008194
rosen lab,blcmr,1991,n.1,1991-06-01,0
rosen lab,blcmr,1991,n.10,1991-06-01,179.3358801638802
rosen lab,blcmr,1991,n.2,1991-06-01,134.50191012291
rosen lab,blcmr,1991,n.3,1991-06-01,156.918895143395
rosen lab,blcmr,1991,n.4,1991-06-01,179.3358801638802
rosen lab,blcmr,1991,n.5,1991-06-01,201.75286518436502
rosen lab,blcmr,1991,n.6,1991-06-01,179.3358801638802
rosen lab,blcmr,1991,n.7,1991-06-01,179.3358801638802
rosen lab,blcmr,1991,n.8,1991-06-01,89.66794008194
rosen lab,blcmr,1991,n.9,1991-06-01,89.66794008194
rosen lab,blcmr,1991,n.1,1991-06-02,0
rosen lab,blcmr,1991,n.10,1991-06-02,179.3358801638802
rosen lab,blcmr,1991,n.2,1991-06-02,134.50191012291
rosen lab,blcmr,1991,n.3,1991-06-02,156.918895143395
rosen lab,blcmr,1991,n.4,1991-06-02,179.3358801638802
rosen lab,blcmr,1991,n.5,1991-06-02,201.75286518436502
rosen lab,blcmr,1991,n.6,1991-06-02,179.3358801638802
rosen lab,blcmr,1991,n.7,1991-06-02,179.3358801638802
rosen lab,blcmr,1991,n.8,1991-06-02,89.66794008194
rosen lab,blcmr,1991,n.9,1991-06-02,89.66794008194
rosen lab,blcmr,1991,n.1,1991-06-03,0
